scenario,strategy,benchmark,metric,value_a,value_b,diff,ci_low,ci_high,p_value,significant
regime_switch,no_hedge,delta,cvar_95,-18.18004655370782,-5.330890726986948,-12.849155826720875,-15.799564785007355,-9.87578088564754,0.0,True
regime_switch,no_hedge,delta,max_loss,-31.571403049049188,-8.040860778205172,-23.530542270844016,-25.199893999104244,-14.54659828299446,0.0,True
regime_switch,no_hedge,delta,pct_loss,0.41333333333333333,0.7133333333333334,-0.30000000000000004,-0.35555555555555557,-0.2444444444444444,0.0,True
regime_switch,random,delta,mean_pnl,-3.3359331457051713,-1.038472348345431,-2.29746079735974,-3.072686280538651,-1.5732571901883434,0.0,True
regime_switch,random,delta,std_pnl,8.137691828828505,1.7237009655216788,6.413990863306826,5.597077365684192,7.241476293853863,0.0,True
regime_switch,random,delta,sharpe,-0.40993603786854255,-0.6024666511868761,0.1925306133183336,0.08211367480775777,0.30544346036471604,0.0002,True
regime_switch,random,delta,var_95,-17.755400424573256,-4.271975635857983,-13.483424788715274,-15.677900155345394,-11.360794118860142,0.0,True
regime_switch,random,delta,cvar_95,-24.765172370616167,-5.330890726986948,-19.43428164362922,-23.45156550671183,-15.478456304307063,0.0,True
regime_switch,random,delta,max_loss,-45.868451773058695,-8.040860778205172,-37.82759099485352,-39.496942723113754,-23.39850958000928,0.0,True
regime_switch,random,delta,pct_loss,0.64,0.7133333333333334,-0.07333333333333336,-0.1333333333333333,-0.013333333333333308,0.017,True
regime_switch,whalley_wilmott,delta,mean_pnl,-0.9794306256609763,-1.038472348345431,0.059041722684454734,-0.1377591972091669,0.2472209413626168,0.5562,False
regime_switch,whalley_wilmott,delta,std_pnl,2.462447377780648,1.7237009655216788,0.7387464122589693,0.5657838525997959,0.9119951210455447,0.0,True
regime_switch,whalley_wilmott,delta,sharpe,-0.39774682476411594,-0.6024666511868761,0.2047198264227602,0.12524688898592515,0.2856200971129143,0.0,True
regime_switch,whalley_wilmott,delta,var_95,-4.896713781649415,-4.271975635857983,-0.624738145791432,-1.2790726054444583,-0.21238751268133563,0.0058,True
regime_switch,whalley_wilmott,delta,cvar_95,-6.343881871965153,-5.330890726986948,-1.012991144978205,-1.9283606277612175,-0.10583779660199995,0.0266,True
regime_switch,whalley_wilmott,delta,max_loss,-11.860186605506598,-8.040860778205172,-3.8193258273014266,-5.267788646853067,-0.11732170637755246,0.0328,True
regime_switch,whalley_wilmott,delta,pct_loss,0.5822222222222222,0.7133333333333334,-0.13111111111111118,-0.18000000000000005,-0.08222222222222231,0.0,True
regime_switch,ppo,delta,mean_pnl,-0.985551143344238,-1.038472348345431,0.05292120500119302,-0.043188264355995806,0.15675097499432777,0.2918,False
regime_switch,ppo,delta,std_pnl,2.188389144598757,1.7237009655216788,0.46468817907707805,0.33767047946763235,0.5990422917583226,0.0,True
regime_switch,ppo,delta,sharpe,-0.4503546116451513,-0.6024666511868761,0.15211203954172486,0.09671469809487408,0.2141679503498802,0.0,True
regime_switch,ppo,delta,var_95,-5.23976355523448,-4.271975635857983,-0.9677879193764971,-1.3867985704854875,-0.46024329849072365,0.0004,True
regime_switch,ppo,delta,cvar_95,-6.631753659184104,-5.330890726986948,-1.3008629321971563,-1.797312935091929,-0.8104398150204927,0.0,True
regime_switch,ppo,delta,max_loss,-9.787257102072719,-8.040860778205172,-1.7463963238675468,-3.4157480521277757,-0.08847777606517582,0.0234,True
regime_switch,ppo,delta,pct_loss,0.6288888888888889,0.7133333333333334,-0.08444444444444443,-0.12,-0.05111111111111111,0.0,True
regime_switch,sac,delta,mean_pnl,-1.4073037848878953,-1.038472348345431,-0.3688314365424643,-0.5629817127636016,-0.17733802274066243,0.0006,True
regime_switch,sac,delta,std_pnl,2.838043136160176,1.7237009655216788,1.114342170638497,0.9241852072084141,1.30684998539436,0.0,True
regime_switch,sac,delta,sharpe,-0.49587117509142353,-0.6024666511868761,0.10659547609545261,0.03327574955552899,0.18285988863443497,0.0034,True
regime_switch,sac,delta,var_95,-6.638557715301301,-4.271975635857983,-2.3665820794433188,-3.4836927375558617,-1.7910261220972048,0.0,True
regime_switch,sac,delta,cvar_95,-8.382281881404861,-5.330890726986948,-3.051391154417913,-3.850460066640141,-2.2169004743367604,0.0,True
regime_switch,sac,delta,max_loss,-11.719836223416351,-8.040860778205172,-3.6789754452111794,-5.348327173471408,-0.9201171057500801,0.0,True
regime_switch,sac,delta,pct_loss,0.6511111111111111,0.7133333333333334,-0.06222222222222229,-0.10666666666666669,-0.020000000000000018,0.0056,True
